id,title,total_results,total_pages,pages
T14423,Military Technology and Strategies,20567592,102838,2844
T10346,Magnetic confinement fusion research,241058,1206,948
T13370,Diverse Scientific and Economic Studies,3365346,16827,217
T12157,Geochemistry and Geologic Mapping,478551,2393,0
T10451,Mycorrhizal Fungi and Plant Interactions,235887,1180,0
T10978,Prenatal Screening and Diagnostics,171352,857,0
T11367,Particle accelerators and beam dynamics,283118,1416,0
T10895,Species Distribution and Climate Change,957897,4790,0
T12859,Cell Image Analysis Techniques,405193,2026,0
T12692,Magnetic Field Sensors Techniques,69543,348,0
T13497,Hermeneutics and Narrative Identity,1033214,5167,0
T13638,Human auditory perception and evaluation,2205677,11029,0
T10781,Plasma Diagnostics and Applications,247200,1236,0
T12760,Laser Design and Applications,219027,1096,0
T11881,Crystallization and Solubility Studies,992073,4961,0
T11893,German Literature and Culture Studies,1065229,5327,0
T10384,Laser-Plasma Interactions and Diagnostics,146380,732,0
T11475,French Urban and Social Studies,1004287,5022,0
T11803,Superconducting and THz Device Technology,62635,314,0
T10015,Genomics and Phylogenetic Studies,717775,3589,0
T10165,Classical Antiquity Studies,771838,3860,0
T11044,Particle Detector Development and Performance,170735,854,0
T10733,Wheat and Barley Genetics and Pathology,145792,729,0
T10941,Musicology and Musical Analysis,522522,2613,0
T14380,Libraries and Information Services,367552,1838,0
