Node,NumNeighbors,Betweenness,PageRank
A5081715623,7,0.01014677200063301,8.488992059916594e-06
A5043579272,5,1.1415785748533072e-05,7.973062237607091e-06
A5084722790,5,0.009507826300120295,7.090015960347552e-06
A5089652885,3,0.0,4.40274227174608e-06
A5032099305,13,0.0003403241527494549,1.693673689015039e-05
A5044615654,9,0.00047784437305676945,1.1354634428402084e-05
A5061312621,2,0.0,2.679546929091923e-06
A5089824871,8,0.010134306719331496,7.440406056564334e-06
A5019277394,99,0.0,5.720495865327799e-06
A5090664790,99,0.0,5.720495865327799e-06
A5032983249,99,0.0,5.720495865327799e-06
A5051788149,99,0.0,5.720495865327799e-06
A5013414973,99,0.0,5.720495865327799e-06
A5089505970,99,0.0,5.720495865327799e-06
A5024362145,99,0.0,5.720495865327799e-06
A5064388107,99,0.0,5.720495865327799e-06
A5089072644,99,0.0,5.720495865327799e-06
A5053550337,99,0.0,5.720495865327799e-06
A5045384542,99,0.0,5.720495865327799e-06
A5030398820,99,0.0,5.720495865327799e-06
A5066413071,99,0.0,5.720495865327799e-06
A5056446511,99,0.0,5.720495865327799e-06
A5083694774,99,0.0,5.720495865327799e-06
A5017132555,99,0.0,5.720495865327799e-06
A5030837353,99,0.0,5.720495865327799e-06
A5032093961,99,0.0,5.720495865327799e-06
A5078334559,99,0.0,5.720495865327799e-06
A5002690657,99,0.0,5.720495865327799e-06
A5010663658,99,0.0,5.720495865327799e-06
A5064623963,99,0.0,5.720495865327799e-06
A5038723962,99,0.0,5.720495865327799e-06
A5054080005,99,0.0,5.720495865327799e-06
A5067642506,99,0.0,5.720495865327799e-06
A5073739459,99,0.0,5.720495865327799e-06
A5088915364,99,0.0,5.720495865327799e-06
A5069808362,99,0.0,5.720495865327799e-06
A5057165309,99,0.0,5.720495865327799e-06
A5072877593,99,0.0,5.720495865327799e-06
A5085620703,99,0.0,5.720495865327799e-06
A5060807138,99,0.0,5.720495865327799e-06
A5026810134,99,0.0,5.720495865327799e-06
A5046570307,99,0.0,5.720495865327799e-06
A5016687153,99,0.0,5.720495865327799e-06
A5038473696,99,0.0,5.720495865327799e-06
A5017680912,99,0.0,5.720495865327799e-06
A5052139113,99,0.0,5.720495865327799e-06
A5042138278,99,0.0,5.720495865327799e-06
A5015924028,99,0.0,5.720495865327799e-06
A5002168050,99,0.0,5.720495865327799e-06
A5064977477,99,0.0,5.720495865327799e-06
A5051093065,99,0.0,5.720495865327799e-06
A5051453939,99,0.0,5.720495865327799e-06
A5046123401,99,0.0,5.720495865327799e-06
A5063137527,136,0.0005650813945523871,9.808162164361588e-06
A5024003300,99,0.0,5.720495865327799e-06
A5084174284,99,0.0,5.720495865327799e-06
A5046544945,99,0.0,5.720495865327799e-06
A5064869731,99,0.0,5.720495865327799e-06
A5046316941,99,0.0,5.720495865327799e-06
A5086436331,99,0.0,5.720495865327799e-06
A5068554754,99,0.0,5.720495865327799e-06
A5013878815,99,0.0,5.720495865327799e-06
A5029660519,99,0.0,5.720495865327799e-06
A5021988192,99,0.0,5.720495865327799e-06
A5035174690,99,0.0,5.720495865327799e-06
A5086679581,99,0.0,5.720495865327799e-06
A5049865408,99,0.0,5.720495865327799e-06
A5008598004,99,0.0,5.720495865327799e-06
A5036893831,99,0.0,5.720495865327799e-06
A5064202107,99,0.0,5.720495865327799e-06
A5023778703,99,0.0,5.720495865327799e-06
A5068519038,99,0.0,5.720495865327799e-06
A5087074793,99,0.0,5.720495865327799e-06
A5107844987,99,0.0,5.720495865327799e-06
A5036106378,99,0.0,5.720495865327799e-06
A5028211721,99,0.0,5.720495865327799e-06
A5002172314,99,0.0,5.720495865327799e-06
A5084716423,99,0.0,5.720495865327799e-06
A5028528029,99,0.0,5.720495865327799e-06
A5009172102,99,0.0,5.720495865327799e-06
A5025312064,99,0.0,5.720495865327799e-06
A5076788949,99,0.0,5.720495865327799e-06
A5042313106,99,0.0,5.720495865327799e-06
A5061931786,99,0.0,5.720495865327799e-06
A5064356364,99,0.0,5.720495865327799e-06
A5026866296,99,0.0,5.720495865327799e-06
A5074443669,99,0.0,5.720495865327799e-06
A5009438604,99,0.0,5.720495865327799e-06
A5004040762,99,0.0,5.720495865327799e-06
A5000986417,99,0.0,5.720495865327799e-06
A5006042020,99,0.0,5.720495865327799e-06
A5048706096,99,0.0,5.720495865327799e-06
A5076399569,99,0.0,5.720495865327799e-06
A5041552776,99,0.0,5.720495865327799e-06
A5018150848,99,0.0,5.720495865327799e-06
A5035259694,99,0.0,5.720495865327799e-06
A5086784276,99,0.0,5.720495865327799e-06
A5052102505,99,0.0,5.720495865327799e-06
A5110513490,99,0.0,5.720495865327799e-06
A5036255905,99,0.0,5.720495865327799e-06
A5026483852,99,0.0,5.720495865327799e-06
A5017047534,99,0.0,5.720495865327799e-06
A5005859011,99,0.0,5.720495865327799e-06
A5022235977,99,0.0,5.720495865327799e-06
A5003400298,99,0.0,5.720495865327799e-06
A5071378993,99,0.0,5.720495865327799e-06
A5041058843,99,0.0,5.720495865327799e-06
A5009352914,99,0.0,5.720495865327799e-06
A5075469199,6,0.0,5.315438330647345e-06
A5017505043,6,0.0,5.315438330647345e-06
A5011882611,6,0.0,5.315438330647345e-06
A5060803988,6,0.0,5.315438330647345e-06
A5069738413,11,3.424735724559922e-05,8.83832724232162e-06
A5068298760,6,0.0,5.315438330647345e-06
A5027452669,6,0.0,5.315438330647345e-06
A5080762924,4,0.0,5.1128487819193215e-06
A5020339891,4,0.0,5.1128487819193215e-06
A5031496105,4,0.0,5.1128487819193215e-06
A5007935193,16,0.0001370864977626043,1.9831037988232586e-05
A5030695867,4,0.0,5.1128487819193215e-06
A5008416573,57,0.0,5.222956439408408e-06
A5070947770,57,0.0,5.222956439408408e-06
A5083732216,102,6.801939718163473e-06,8.253976009777007e-06
A5087360438,146,6.801939718163473e-06,1.140002249194909e-05
A5082625591,57,0.0,5.222956439408408e-06
A5046125192,57,0.0,5.222956439408408e-06
A5042757855,57,0.0,5.222956439408408e-06
A5006086327,57,0.0,5.222956439408408e-06
A5002820026,65,2.2831571497066144e-05,8.405291656381216e-06
A5067893829,57,0.0,5.222956439408408e-06
A5063628464,57,0.0,5.222956439408408e-06
A5004347952,57,0.0,5.222956439408408e-06
A5086759701,57,0.0,5.222956439408408e-06
A5082101222,57,0.0,5.222956439408408e-06
A5020119188,124,6.801939718163473e-06,9.720284116569354e-06
A5035038912,157,6.958876133509533e-05,1.824602763956262e-05
A5108369543,146,6.801939718163473e-06,1.140002249194909e-05
A5056605564,57,0.0,5.222956439408408e-06
A5006839351,57,0.0,5.222956439408408e-06
A5031235052,57,0.0,5.222956439408408e-06
A5034744175,57,0.0,5.222956439408408e-06
A5018574980,57,0.0,5.222956439408408e-06
A5089214440,57,0.0,5.222956439408408e-06
A5081592673,57,0.0,5.222956439408408e-06
A5043874025,57,0.0,5.222956439408408e-06
A5002973460,57,0.0,5.222956439408408e-06
A5015596804,57,0.0,5.222956439408408e-06
A5086241859,154,1.7053983626757438e-05,1.2790903614436939e-05
A5084346282,57,0.0,5.222956439408408e-06
A5086992920,57,0.0,5.222956439408408e-06
A5071961738,57,0.0,5.222956439408408e-06
A5034053870,57,0.0,5.222956439408408e-06
A5086480646,57,0.0,5.222956439408408e-06
A5080761136,57,0.0,5.222956439408408e-06
A5084668371,57,0.0,5.222956439408408e-06
A5059211665,57,0.0,5.222956439408408e-06
A5067486803,65,2.2831571497066144e-05,8.405291656381216e-06
A5042651236,57,0.0,5.222956439408408e-06
A5004637954,101,6.801939718163473e-06,8.323460748066503e-06
A5021518855,57,0.0,5.222956439408408e-06
A5000365604,57,0.0,5.222956439408408e-06
A5003569066,57,0.0,5.222956439408408e-06
A5101729971,57,0.0,5.222956439408408e-06
A5027357854,57,0.0,5.222956439408408e-06
A5005456074,57,0.0,5.222956439408408e-06
A5068992669,57,0.0,5.222956439408408e-06
A5079820658,101,6.801939718163473e-06,8.323460748066503e-06
A5015363434,57,0.0,5.222956439408408e-06
A5005014336,103,6.801939718163473e-06,8.228970973878064e-06
A5048250169,57,0.0,5.222956439408408e-06
A5108115163,271,0.0003576067593298891,1.8119820473871268e-05
A5017568521,231,0.00013557839345814944,1.5259423525523386e-05
A5036891447,57,0.0,5.222956439408408e-06
A5016615522,146,6.801939718163473e-06,1.1400022491949088e-05
A5013298411,57,0.0,5.222956439408408e-06
A5042531678,57,0.0,5.222956439408408e-06
A5016723067,57,0.0,5.222956439408408e-06
A5050584655,101,6.801939718163473e-06,8.323460748066503e-06
A5077423713,3,0.0,4.493722037142337e-06
A5050708894,11,5.707892874266536e-05,1.662054144956572e-05
A5080371139,6,2.2831571497066144e-05,9.046711619807156e-06
A5113905787,3,0.0,4.493722037142337e-06
A5016526397,8,0.0,5.37321934831023e-06
A5091508643,8,0.0,5.37321934831023e-06
A5074862456,15,2.5069065503778586e-05,1.1200692177957864e-05
A5058966526,8,0.0,5.37321934831023e-06
A5077692121,8,0.0,5.37321934831023e-06
A5057760864,19,4.790063700084469e-05,1.2939513940000242e-05
A5034655273,14,6.940797735108119e-06,9.113549238361281e-06
A5020758174,8,0.0,5.37321934831023e-06
A5068941778,8,0.0,5.37321934831023e-06
A5022324404,2,0.0,2.369996647763851e-06
A5089822400,64,0.0011028142102588283,7.455760043895286e-05
A5030966187,23,0.00014783191674922,1.807233877271685e-05
A5022261400,1,0.0,1.3797061770827741e-06
A5069995275,24,1.712367862279961e-05,1.6439894559116374e-05
A5079994171,6,0.0,4.728851088012725e-06
A5024863368,6,0.0,4.728851088012725e-06
A5000563671,6,0.0,4.728851088012725e-06
A5004739283,10,5.7209350828719354e-05,7.338908401933426e-06
A5039194150,12,2.000488218682462e-06,7.764349833921111e-06
A5064327055,6,0.0,4.728851088012726e-06
A5068788284,11,2.853946437133268e-05,9.068967259800355e-06
A5046080331,6,0.0,4.4078229587439355e-06
A5075113491,16,2.9490779850377147e-05,1.1880000786029117e-05
A5046549967,14,1.8074994101844036e-05,9.934169833466189e-06
A5000901343,14,0.0,9.685055834233534e-06
A5041369880,12,0.0,8.136939655611165e-06
A5011475032,6,0.0,4.4078229587439355e-06
A5051884544,6,0.0,4.4078229587439355e-06
A5096983908,7,0.0,5.172773721704723e-06
A5010370246,9,5.707892874266536e-06,6.463707685898875e-06
A5096983907,7,0.0,5.172773721704723e-06
A5103243804,9,5.707892874266536e-06,6.463707685898875e-06
A5010741425,9,5.707892874266536e-06,6.463707685898875e-06
A5049128104,7,0.0,5.172773721704723e-06
A5020835657,13,3.995525011986575e-05,1.023098696246362e-05
A5097012400,7,0.0,5.172773721704723e-06
A5010220521,3,2.853946437133268e-06,4.7240752187788425e-06
A5016469975,17,0.0001255736432338638,2.891618691737709e-05
A5042312767,6,2.853946437133268e-06,9.749547607962574e-06
A5002200189,2,0.0,3.5421195178655304e-06
A5095993179,4,0.0,4.883787337854635e-06
A5014615204,4,0.0,4.883787337854635e-06
A5095993178,4,0.0,4.883787337854635e-06
A5095993180,4,0.0,4.883787337854635e-06
A5011743918,9,2.2831571497066144e-05,8.958887803636125e-06
A5061086236,14,6.987971531998968e-06,7.820667921597596e-06
A5046287349,25,2.402381775965953e-05,1.3688666289082453e-05
A5055460759,10,0.0,5.141916521858154e-06
A5054085530,12,4.390255176655515e-08,6.046887073310299e-06
A5074318646,14,5.525646387759426e-05,6.698389365077655e-06
A5084385145,14,1.8788866722393502e-06,7.3782764378093655e-06
A5082778294,13,4.0314835653948913e-07,6.546950180360149e-06
A5003235335,10,0.0,5.141916521858154e-06
A5034381338,19,6.3525425122702355e-06,9.954945157151778e-06
A5020009739,10,0.0,5.141916521858154e-06
A5001156170,27,2.572923204714282e-05,1.5065579000366531e-05
A5090635110,10,1.96949141172792e-06,5.678969911928378e-06
A5036737097,25,3.240941046256157e-05,1.5379541859466364e-05
A5031535083,12,2.5214686041238134e-05,1.233859359869978e-05
A5049174837,2,0.0,2.1113301040471073e-06
A5016258825,11,0.0,5.884260120796572e-06
A5085641391,56,0.036726307979596466,3.578349898034904e-05
A5074772906,74,0.002334701508022443,5.504781984926591e-05
A5028645013,11,0.0,5.884260120796572e-06
A5036243910,20,0.00020005041798146767,1.1121430012543852e-05
A5041623770,11,0.0,5.884260120796571e-06
A5034552812,20,0.00020005041798146767,1.1121430012543852e-05
A5054066983,11,0.0,5.884260120796571e-06
A5100442452,11,0.0,5.884260120796571e-06
A5005938532,11,0.0,5.884260120796571e-06
A5077456444,11,0.0,5.884260120796571e-06
A5109896817,11,0.0,5.884260120796571e-06
A5074243787,1,0.0,1.5087124182649638e-06
A5079585480,11,1.8263024039115236e-05,9.48943458745793e-06
A5006237283,3,0.0,4.858501951606618e-06
A5018696900,3,0.0,4.858501951606618e-06
A5100317861,13,7.99105002397315e-05,1.9178710283694828e-05
A5016751068,3,0.0,4.858501951606618e-06
A5041742647,2,0.0,3.6159190840525505e-06
A5051048005,2,0.0,3.6159190840525505e-06
A5038600626,12,6.849471449119844e-05,1.794087619633508e-05
A5008382402,3,0.0,3.3407494930617317e-06
A5015081986,4,5.707892874266536e-06,5.663259895666567e-06
A5002226678,9,8.389749706536957e-06,7.851578565830202e-06
A5006673346,11,4.776695529088094e-05,8.580534172271534e-06
A5043190367,2,0.0,3.0769810384404474e-06
A5074794875,2,0.0,3.0769810384404474e-06
A5076699095,270,0.0857294299469599,0.0002835876785547426
A5090211576,10,0.00010559601817393092,8.488096190184079e-06
A5050876613,6,2.853946437133268e-06,5.377577713544174e-06
A5060374424,2,0.0,2.2689100822925956e-06
A5066803373,9,3.995525011986575e-05,7.6151490490724684e-06
A5023796031,9,3.995525011986575e-05,7.6151490490724684e-06
A5075621599,4,0.0,3.7891554734794078e-06
A5010116871,4,0.0,3.7891554734794078e-06
A5018105342,21,0.001836251089662939,1.3361845162882995e-05
A5060546352,5,0.0,4.24021886049387e-06
A5064123404,16,0.010779704091189566,1.2632386270357261e-05
A5006593965,5,0.0,4.24021886049387e-06
A5077079687,8,0.0,5.467672978003567e-06
A5031052253,8,0.0,5.467672978003567e-06
A5078955644,8,0.0,5.467672978003567e-06
A5047097454,36,0.0002511472864677276,2.3066462232113593e-05
A5026367051,8,0.0,5.467672978003567e-06
A5089151746,8,0.0,5.467672978003567e-06
A5031969868,8,0.0,5.467672978003567e-06
