title,Nodes,Edges,density
network_0_T10346.txt,49961,1420569,0.0011382529293585586
network_1_T10346.txt,85,295,0.08263305322128851
network_2_T10346.txt,46,1035,1.0
network_3_T10346.txt,37,291,0.4369369369369369
network_4_T10346.txt,36,245,0.3888888888888889
network_5_T10346.txt,35,124,0.20840336134453782
network_6_T10346.txt,31,167,0.35913978494623655
network_7_T10346.txt,31,304,0.6537634408602151
network_8_T10346.txt,29,406,1.0
network_9_T10346.txt,28,158,0.41798941798941797
network_10_T10346.txt,28,191,0.5052910052910053
network_11_T10346.txt,26,227,0.6984615384615385
network_12_T10346.txt,24,102,0.3695652173913043
network_13_T10346.txt,23,101,0.39920948616600793
network_14_T10346.txt,22,231,1.0
network_15_T10346.txt,22,231,1.0
network_16_T10346.txt,21,159,0.7571428571428571
network_17_T10346.txt,21,210,1.0
network_18_T10346.txt,20,60,0.3157894736842105
network_19_T10346.txt,20,190,1.0
network_20_T10346.txt,20,95,0.5
network_21_T10346.txt,20,190,1.0
network_22_T10346.txt,20,190,1.0
network_23_T10346.txt,20,190,1.0
network_24_T10346.txt,19,91,0.5321637426900585
network_25_T10346.txt,19,171,1.0
network_26_T10346.txt,18,107,0.6993464052287581
network_27_T10346.txt,18,68,0.4444444444444444
network_28_T10346.txt,18,29,0.1895424836601307
network_29_T10346.txt,18,49,0.3202614379084967
network_30_T10346.txt,18,153,1.0
network_31_T10346.txt,17,73,0.5367647058823529
network_32_T10346.txt,17,93,0.6838235294117647
network_33_T10346.txt,17,136,1.0
network_34_T10346.txt,16,120,1.0
network_35_T10346.txt,16,29,0.24166666666666667
network_36_T10346.txt,16,21,0.175
network_37_T10346.txt,16,26,0.21666666666666667
network_38_T10346.txt,16,78,0.65
network_39_T10346.txt,15,105,1.0
network_40_T10346.txt,15,56,0.5333333333333333
network_41_T10346.txt,15,63,0.6
network_42_T10346.txt,15,105,1.0
network_43_T10346.txt,15,105,1.0
network_44_T10346.txt,15,105,1.0
network_45_T10346.txt,14,91,1.0
network_46_T10346.txt,14,91,1.0
network_47_T10346.txt,14,46,0.5054945054945055
network_48_T10346.txt,14,33,0.3626373626373626
network_49_T10346.txt,14,61,0.6703296703296703
