DegreeTargeted,BetweennessTargeted,PageRankTargeted,RandomVaccination,NoVaccination
1133,810,1003,1370,1150
945,944,890,1092,1240
1046,850,946,1357,1375
851,1207,786,1264,1220
1090,931,1070,1366,1400
1131,926,1134,1208,1312
975,797,990,1200,1297
1088,1064,904,1135,1115
852,896,1041,1337,1307
883,829,1186,1180,1383
1042,1050,981,1348,1252
945,955,933,1413,1202
957,1001,1061,1238,1311
902,824,1036,1176,1348
890,902,1173,1289,1221
983,953,964,1329,1051
1119,940,954,1184,1230
1117,973,849,1344,1147
950,828,1034,1260,1238
1018,703,772,1218,1190
1079,766,1189,1227,1048
961,754,809,1263,1448
1009,792,954,1044,1164
1079,732,1044,1265,1058
935,953,986,1294,1222
1021,915,1039,1160,947
959,833,973,1344,1061
1014,1015,949,1274,1203
1234,757,1010,1258,1326
1047,935,969,1290,1226
